,ID,CB_smile,Score,Natom,Nflex,Hbond,Hphob,VwInt,Eintl,Dsolv,SolEl,mfScore,RTCNNscore,dTSsc,ICM_Smile
374,7184257,Nc1nnc(CCCCn2c(nc3ccccc23)-c2nonc2N)s1,-21.328815,41,5,-3.061255,-5.194471,-20.62059,1.747108,8.03478,0.670754,-66.94899,-16.826668,1.017031,[H]c1c([H])c([H])c2c(c1[H])nc(c1c(non1)N([H])[H])n2C([H])([H])C([H])([H])C([H])([H])C([H])([H])c1nnc(N([H])[H])s1
375,7639143,Ic1ccccc1NC1=NS(=O)(=O)c2ccccc12,-21.326096,28,0,0,-4.52947,-20.750425,1.41452,2.995661,-0.964215,-44.604969,-18.509081,0.843956,[H]c1c([H])c([H])c2c(C(=NS2(=O)=O)N([H])c2c([H])c([H])c([H])c([H])c2I)c1[H]
376,8921191,COC(=O)c1cc(nc2c(cnn12)-c1ccccc1)-c1ccc(F)cc1,-21.325172,40,2,-3.679923,-5.536305,-20.216372,4.622993,7.222148,3.818669,-71.287193,-18.216116,1.159328,[H]c1c([H])c([H])c(c([H])c1[H])c1c([H])nn2c(C(=O)OC([H])([H])[H])c([H])c(c3c([H])c([H])c(c([H])c3[H])F)nc12
377,5551195,CCOC(=O)c1cn(-c2ccccc2N(=O)=O)c2cc(Cl)c(cc2c1=O)N(=O)=O,-21.323814,41,3,-3.68369,-4.484663,-21.19488,3.181053,7.209555,4.666251,-78.768105,-13.692054,1.356,[H]C1=C(C(c2c([H])c(c(c([H])c2N1c1c([H])c([H])c([H])c([H])c1N(=O)=O)[Cl])N(=O)=O)=O)C(=O)OC([H])([H])C([H])([H])[H]
378,41037560,Cc1ccc(C)c(OCC(=O)NCCNC(=O)c2cccnc2)c1C,-21.319651,48,5,-3.598576,-5.258783,-20.199673,1.242406,9.354737,1.130769,-72.727585,-20.179663,1.136137,[H]c1c([H])c([H])nc([H])c1C(N([H])C([H])([H])C([H])([H])N([H])C(C([H])([H])Oc1c(c([H])c([H])c(c1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])=O)=O
379,19241692,O=C(NCc1cccc(c1)-c1nnn[nH]1)c1cccc2ccnn12,-21.318275,37,2,-3.34282,-4.72652,-20.481199,4.300353,7.725018,1.837954,-62.682789,-17.3909,1.079026,[H]c1c([H])c(c([H])c(c1[H])C([H])([H])N([H])C(c1c([H])c([H])c([H])c2c([H])c([H])nn12)=O)c1nnnn1[H]
380,91523864,O=[C](=O)Cc1ccccc1-n1ncc2ccccc12,-21.317995,30,2,-3.042915,-4.248462,-15.63578,0.7578,6.395553,-2.406842,-76.738167,-15.929806,0.896689,[H]c1c([H])c([H])c(c(c1[H])C([H])([H])C(=[O-/2])=[O-/2])n1c2c([H])c([H])c([H])c([H])c2c([H])n1
381,6315830,COc1ccc(C(=O)CCC(=O)Nc2ccc(cc2)[C](=O)=O)c(OC)c1,-21.306601,44,5,-3.772624,-4.531546,-20.409603,3.019013,11.135084,-2.240671,-57.108444,-13.598497,1.236286,[H]c1c([H])c(c([H])c([H])c1C(=[O-/2])=[O-/2])N([H])C(C([H])([H])C([H])([H])C(c1c([H])c([H])c(c([H])c1OC([H])([H])[H])OC([H])([H])[H])=O)=O
382,5926065,COC(=O)c1ccccc1NC(=O)c1cccc(F)c1,-21.304537,32,0,0,-5.061057,-21.245459,1.357699,3.501686,-0.165233,-52.119366,-13.969178,0.769165,[H]c1c([H])c([H])c(c(C(=O)OC([H])([H])[H])c1[H])N([H])C(c1c([H])c([H])c([H])c(c1[H])F)=O
383,7114451,Cc1ccc(OCC(=O)NC(=S)Nc2cc(ccc2Cl)-c2nc3ncccc3o2)cc1,-21.302931,48,4,-3.064729,-7.054254,-24.60041,5.036742,10.372152,3.903689,-85.191109,-17.036629,1.436472,[H]c1c([H])c(c(c([H])c1c1nc2c(c([H])c([H])c([H])n2)o1)N([H])C(N([H])C(C([H])([H])Oc1c([H])c([H])c(c([H])c1[H])C([H])([H])[H])=O)=S)[Cl]
384,14351832,NC(=O)c1cc(ccc1Cl)-c1ccc(F)c2cccnc12,-21.301147,31,0,-1.719598,-4.969404,-19.287897,3.130611,4.620005,0.490095,-65.485138,-14.929271,0.82797,[H]c1c([H])c(c(C(N([H])[H])=O)c([H])c1c1c([H])c([H])c(c2c([H])c([H])c([H])nc12)F)[Cl]
385,5211067,Cc1cccc(NS(=O)(=O)c2cccc(c2)C(=O)Nc2ccc(cc2)N(=O)=O)c1,-21.300364,46,5,-3.790801,-4.642503,-21.808357,3.684385,7.696103,3.373472,-79.82135,-16.797562,1.209585,[H]c1c([H])c(c([H])c(c1[H])N([H])S(c1c([H])c([H])c([H])c(C(N([H])c2c([H])c([H])c(c([H])c2[H])N(=O)=O)=O)c1[H])(=O)=O)C([H])([H])[H]
386,7779018,Clc1ccccc1NC(=O)c1cc(cs1)S(=O)(=O)Nc1ccccc1Cl,-21.299919,38,3,-4.031424,-5.069807,-21.391354,5.026933,7.640908,4.758888,-74.658707,-19.166494,1.207577,[H]c1c([H])c([H])c(c(c1[H])N([H])C(c1c([H])c(c([H])s1)S(N([H])c1c([H])c([H])c([H])c([H])c1[Cl])(=O)=O)=O)[Cl]
387,99461352,C[C@@H]1CN(CCN1)S(=O)(=O)c1cc(c(Cl)cc1F)[C](=O)=O,-21.298466,34,3,-3.533618,-3.572215,-17.87822,1.753629,7.713834,-1.097519,-50.029297,-13.17167,1.085371,[H]c1c(C(=[O-/2])=[O-/2])c(c([H])c(c1S(N1C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C1([H])[H])(=O)=O)F)[Cl]
388,7688303,COc1cccc(NC(=S)NC(=N)Nc2nc(C)c3ccc(C)cc3n2)c1,-21.295948,47,4,-3.88538,-6.13643,-22.811045,9.420131,7.194208,3.04361,-83.463394,-14.953944,1.210556,[H]c1c([H])c(c([H])c(c1[H])OC([H])([H])[H])N([H])C(N([H])C(=N[H])N([H])c1nc(c2c([H])c([H])c(c([H])c2n1)C([H])([H])[H])C([H])([H])[H])=S
389,5846483,FC(F)(F)c1cc(\C=C\c2ccccc2C(F)(F)F)nc(=O)[nH]1,-21.293318,31,0,-3.204839,-4.1443,-15.838645,1.358114,5.712625,0.501385,-60.078472,-17.158852,0.874846,[H]C(=C([H])c1c([H])c([H])c([H])c([H])c1C(F)(F)F)C1C([H])=C(C(F)(F)F)N([H])C(N=1)=O
390,5573339,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccccc1I,-21.290125,34,3,-2.396336,-4.591757,-19.542004,2.680744,5.676157,-0.415878,-76.619492,-17.092649,0.909283,[H]c1c([H])c([H])c(c(c1[H])N([H])S(c1c([H])c([H])c(c([H])c1[H])N([H])C(C([H])([H])[H])=O)(=O)=O)I
391,50945320,O=C(N1Cc2ccccc2C1)c1cc(Cn2cnc3ccccc23)[nH]n1,-21.285954,43,3,-4.491697,-5.229534,-20.781155,6.21328,7.68986,4.647906,-61.066006,-19.820906,1.075218,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])N(C(c1c([H])c(C([H])([H])n3c4c([H])c([H])c([H])c([H])c4nc3[H])n([H])n1)=O)C2([H])[H]
392,18018972,CN1Cc2ccccc2C[C@H]1C(=O)NC[C@H]1Cc2cc(F)cc(c2O1)-c1cccnc1,-21.285664,55,3,-2.151828,-6.204828,-23.704884,3.627576,7.097675,4.122394,-92.346718,-17.375603,1.247542,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])[C@@]([H])(C(N([H])C([H])([H])[C@@]1([H])C([H])([H])c3c([H])c(c([H])c(c4c([H])c([H])c([H])nc4[H])c3O1)F)=O)N(C([H])([H])[H])C2([H])[H]
393,7653159,FC(F)(F)c1cccc(NC(=O)CSc2nnc(o2)-c2ccccc2)c1,-21.283731,38,3,-1.629517,-5.409942,-21.440182,2.093321,5.545454,1.043494,-65.196297,-17.140902,1.084232,[H]c1c([H])c([H])c(c([H])c1[H])c1nnc(o1)SC([H])([H])C(N([H])c1c([H])c([H])c([H])c(c1[H])C(F)(F)F)=O
394,83626096,CCC[C@H]1CN(C[C@@H]1NS(C)(=O)=O)C(=O)CN1CC(=O)NC1=O,-21.283394,45,7,-4.49143,-4.572549,-21.38665,3.151123,8.750984,2.842834,-49.083492,-18.210249,1.084285,[H]C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N(C(C([H])([H])N2C(N([H])C(C2([H])[H])=O)=O)=O)C([H])([H])[C@]1([H])N([H])S(C([H])([H])[H])(=O)=O
395,5253138,COc1ccccc1NS(=O)(=O)c1cccc(c1)C(=O)Nc1ccc(Br)cc1,-21.280525,45,4,-4.237522,-4.809034,-22.7988,7.643019,8.365971,3.3348,-87.672913,-19.623857,1.213961,[H]c1c([H])c([H])c(c(c1[H])N([H])S(c1c([H])c([H])c([H])c(C(N([H])c2c([H])c([H])c(c([H])c2[H])[Br])=O)c1[H])(=O)=O)OC([H])([H])[H]
396,7800376,CC(=O)Nc1cccc(NC(=S)Nc2ccccc2C(F)(F)F)c1,-21.274538,38,2,-2.095872,-5.276246,-20.496843,2.709298,5.267878,1.944637,-80.532661,-16.920656,0.994196,[H]c1c([H])c([H])c(c(c1[H])C(F)(F)F)N([H])C(N([H])c1c([H])c([H])c([H])c(c1[H])N([H])C(C([H])([H])[H])=O)=S
